root_comment_id,root_emotion,total_replies,same_emotion_count,propagation_rate,reply_emotion_distribution
UgwU7t1x1PzauTGfn1F4AaABAg,disgust,58,8,0.13793103448275862,"{'anger': 10, 'disgust': 8, 'surprise': 10, 'neutral': 25, 'sadness': 3, 'joy': 2}"
UgzVT0JmCi1t9ZYiTrF4AaABAg,surprise,2,0,0.0,"{'neutral': 1, 'fear': 1}"
UgyA2R4u2iPWil2WX754AaABAg,anger,10,0,0.0,"{'surprise': 3, 'neutral': 6, 'joy': 1}"
UgyABP5VjQ0pX4I6iCR4AaABAg,disgust,3,1,0.3333333333333333,"{'joy': 1, 'disgust': 1, 'neutral': 1}"
UgyOQTveG4w0VP6IeaR4AaABAg,anger,1,1,1.0,{'anger': 1}
UgzYrdXMqGQh8G3A0VB4AaABAg,anger,2,0,0.0,"{'surprise': 1, 'neutral': 1}"
UgyBAn7DiUdmM8hWc7B4AaABAg,disgust,1,0,0.0,{'neutral': 1}
Ugy8XXIxBqgaN9MKTeh4AaABAg,surprise,2,1,0.5,"{'surprise': 1, 'anger': 1}"
UgxRhflIKnt9QK6Dkgh4AaABAg,neutral,3,2,0.6666666666666666,"{'neutral': 2, 'surprise': 1}"
UgzfZrG8goy6QVELEnp4AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgyBELsOlR56i63hhVl4AaABAg,anger,1,0,0.0,{'disgust': 1}
UgyCgLoo0d_8BO6aekB4AaABAg,anger,5,2,0.4,"{'fear': 1, 'anger': 2, 'surprise': 1, 'disgust': 1}"
UgyvhEcqFbRjlmw7Gu14AaABAg,neutral,1,1,1.0,{'neutral': 1}
Ugy6y32Lt-CzZjB-fdx4AaABAg,neutral,6,3,0.5,"{'neutral': 3, 'fear': 1, 'anger': 2}"
UgyUSV9DAlOpvZzH4yZ4AaABAg,anger,4,0,0.0,"{'disgust': 1, 'neutral': 2, 'surprise': 1}"
Ugwm4B6QhXDYyoKM_m54AaABAg,neutral,8,6,0.75,"{'neutral': 6, 'surprise': 1, 'anger': 1}"
Ugx_aTYwa1xiX2WQ21F4AaABAg,neutral,2,1,0.5,"{'sadness': 1, 'neutral': 1}"
UgyKCc5acZTTpb6nRgZ4AaABAg,anger,1,0,0.0,{'neutral': 1}
Ugwtd_d7YsMZUqLyeml4AaABAg,neutral,4,3,0.75,"{'neutral': 3, 'anger': 1}"
Ugzb9A0Z2cloBR7LxMB4AaABAg,neutral,3,3,1.0,{'neutral': 3}
UgzSAfaGQjkn6JTRXdJ4AaABAg,disgust,4,0,0.0,"{'neutral': 1, 'surprise': 1, 'anger': 1, 'joy': 1}"
UgyUq5DCm_yCaLWAYzR4AaABAg,sadness,1,0,0.0,{'neutral': 1}
UgzCSnZxUTO8ZLyG6wV4AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgzWGOG5Rjb5dkjwjpt4AaABAg,anger,2,1,0.5,"{'anger': 1, 'neutral': 1}"
UgxzsDjHZsCreauoaRx4AaABAg,sadness,1,0,0.0,{'neutral': 1}
Ugx0fklHWonH9UsOAXF4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgygQlw_K9VgW5d1EHt4AaABAg,neutral,6,4,0.6666666666666666,"{'neutral': 4, 'anger': 1, 'surprise': 1}"
UgxofDYxFPG9Gr1zxcJ4AaABAg,anger,3,0,0.0,"{'joy': 1, 'disgust': 2}"
UgxzmimotXwDCDjCqhd4AaABAg,neutral,6,4,0.6666666666666666,"{'sadness': 1, 'neutral': 4, 'disgust': 1}"
UgzSiSFfPNhFra0R5k14AaABAg,fear,1,0,0.0,{'disgust': 1}
Ugy0niAWfm0mIla474t4AaABAg,neutral,3,2,0.6666666666666666,"{'surprise': 1, 'neutral': 2}"
Ugw7ycDUp65Y6rjiZ-14AaABAg,fear,3,0,0.0,"{'disgust': 2, 'neutral': 1}"
UgxSOhCheE-nAedU9hp4AaABAg,anger,2,0,0.0,"{'neutral': 1, 'surprise': 1}"
UgyL8Xoeyn4MJQ2Rk7Z4AaABAg,anger,1,0,0.0,{'neutral': 1}
UgxmM9Nr-cJh3RVEGXF4AaABAg,disgust,1,0,0.0,{'neutral': 1}
UgwkXQodgUbuz_ADYRp4AaABAg,surprise,4,0,0.0,"{'neutral': 3, 'disgust': 1}"
UgzkXTYLvvzLrrH_jf54AaABAg,neutral,1,0,0.0,{'anger': 1}
UgyZe4_GI-FEB_mWz694AaABAg,sadness,1,0,0.0,{'neutral': 1}
Ugznt-ZR6eVaO40hyrx4AaABAg,sadness,28,2,0.07142857142857142,"{'fear': 6, 'neutral': 11, 'anger': 3, 'sadness': 2, 'surprise': 3, 'disgust': 2, 'joy': 1}"
UgyVQ28xhAQLdp3eRvx4AaABAg,anger,1,0,0.0,{'neutral': 1}
Ugzr1sP6Npv74gFEXmV4AaABAg,fear,1,0,0.0,{'neutral': 1}
UgywRKTFo5rIBGnvHDx4AaABAg,anger,2,1,0.5,"{'neutral': 1, 'anger': 1}"
UgzfVqWJFAGO-XnxqgB4AaABAg,anger,161,30,0.18633540372670807,"{'neutral': 73, 'joy': 5, 'anger': 30, 'disgust': 14, 'surprise': 17, 'sadness': 11, 'fear': 11}"
Ugy7VvGt5Pafj21a7kd4AaABAg,neutral,10,5,0.5,"{'disgust': 2, 'neutral': 5, 'anger': 3}"
UgwRw6jJFao5yHqs7iZ4AaABAg,disgust,2,0,0.0,{'anger': 2}
UgyJX-tem-GK5J81fwd4AaABAg,disgust,9,1,0.1111111111111111,"{'joy': 1, 'fear': 1, 'sadness': 2, 'anger': 2, 'disgust': 1, 'neutral': 2}"
UgxLLBn83X0O56M4SbZ4AaABAg,surprise,1,0,0.0,{'neutral': 1}
Ugz0FSPVTuaBHG__y_54AaABAg,neutral,1,0,0.0,{'fear': 1}
UgyHvL_FQ2ovzN3EFEZ4AaABAg,anger,1,0,0.0,{'surprise': 1}
UgyaRQrQVE2cD238YOp4AaABAg,sadness,1,0,0.0,{'neutral': 1}
UgxcO-l-hMmPEL2kOMt4AaABAg,sadness,2,0,0.0,{'neutral': 2}
UgzbT1NSQcBsTalj6DJ4AaABAg,disgust,1,0,0.0,{'neutral': 1}
UgymTmGhj0agEFPx5Rp4AaABAg,neutral,8,6,0.75,"{'neutral': 6, 'surprise': 2}"
UgyE6MbVFnmqJbIuGr94AaABAg,joy,1,0,0.0,{'disgust': 1}
UgwL7VXTxJTl1aNzThh4AaABAg,anger,2,0,0.0,"{'neutral': 1, 'surprise': 1}"
Ugzg1eUkLeD7s318oMV4AaABAg,disgust,3,0,0.0,"{'anger': 1, 'neutral': 2}"
Ugxz5lgtvphd1rxlwKF4AaABAg,disgust,2,0,0.0,"{'anger': 1, 'neutral': 1}"
UgydHgG7wgrb0UzPeDd4AaABAg,disgust,25,2,0.08,"{'neutral': 13, 'sadness': 3, 'disgust': 2, 'surprise': 1, 'anger': 6}"
Ugw-8F3Ul2Ndb1EOBKN4AaABAg,anger,34,7,0.20588235294117646,"{'neutral': 18, 'anger': 7, 'disgust': 5, 'fear': 2, 'sadness': 2}"
UgzGTYQRqIoZtucty9B4AaABAg,neutral,15,12,0.8,"{'neutral': 12, 'surprise': 2, 'anger': 1}"
UgyTQePyTOdtJhuIk_t4AaABAg,neutral,4,4,1.0,{'neutral': 4}
Ugyu8g5ncpXQS7cmIkt4AaABAg,neutral,1,0,0.0,{'surprise': 1}
Ugwg4boAM-RiTsM5x194AaABAg,neutral,4,3,0.75,"{'neutral': 3, 'surprise': 1}"
UgxtMkUpH-Wuu0tLaEJ4AaABAg,disgust,58,12,0.20689655172413793,"{'anger': 15, 'neutral': 23, 'disgust': 12, 'joy': 1, 'surprise': 6, 'sadness': 1}"
Ugynzt2Oj4jADx8TZV54AaABAg,disgust,6,0,0.0,"{'neutral': 4, 'surprise': 1, 'anger': 1}"
UgyHwHoWvahznp6CVQ14AaABAg,neutral,117,54,0.46153846153846156,"{'anger': 30, 'neutral': 54, 'disgust': 9, 'surprise': 13, 'fear': 5, 'joy': 1, 'sadness': 5}"
UgzD38saBUeuzIU6SK94AaABAg,neutral,13,7,0.5384615384615384,"{'neutral': 7, 'sadness': 2, 'surprise': 3, 'disgust': 1}"
Ugx80DWkagq1yCOEaux4AaABAg,surprise,2,0,0.0,"{'sadness': 1, 'disgust': 1}"
UgzZp7prNE73C20NRGJ4AaABAg,anger,3,0,0.0,"{'fear': 2, 'surprise': 1}"
Ugw8CsrjXA98i7VkBVx4AaABAg,disgust,12,2,0.16666666666666666,"{'anger': 3, 'disgust': 2, 'neutral': 7}"
UgzJznmv8nVUZLM1SWp4AaABAg,neutral,4,1,0.25,"{'disgust': 1, 'sadness': 1, 'anger': 1, 'neutral': 1}"
Ugwy14eYK40dU-JnCJJ4AaABAg,disgust,6,1,0.16666666666666666,"{'surprise': 2, 'neutral': 3, 'disgust': 1}"
Ugz0qLh3BT417RQaRel4AaABAg,neutral,2,2,1.0,{'neutral': 2}
Ugwj-NQEDcr53JIcJT14AaABAg,disgust,10,1,0.1,"{'anger': 4, 'surprise': 2, 'joy': 1, 'disgust': 1, 'neutral': 2}"
UgywlMEvur3OdnegF3h4AaABAg,fear,4,0,0.0,"{'neutral': 1, 'disgust': 3}"
Ugw05Fpg4vkyGO4Mapd4AaABAg,surprise,3,0,0.0,{'neutral': 3}
UgyVYKLE3mcWSFCqStV4AaABAg,anger,19,1,0.05263157894736842,"{'neutral': 13, 'disgust': 2, 'surprise': 3, 'anger': 1}"
UgzhAPqI4foWMxVwTS14AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgzuO-GNfI-ArIkpwx54AaABAg,surprise,5,2,0.4,"{'surprise': 2, 'neutral': 2, 'disgust': 1}"
Ugw8C-ChGOa_-PmrxXZ4AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgxpNfliFRnLt-B0hKF4AaABAg,neutral,39,15,0.38461538461538464,"{'anger': 14, 'fear': 2, 'sadness': 2, 'neutral': 15, 'surprise': 4, 'disgust': 1, 'joy': 1}"
UgxOTx-4xN4SeEwWXmN4AaABAg,anger,5,1,0.2,"{'neutral': 2, 'anger': 1, 'surprise': 2}"
UgylLSG4V10VtinFIH14AaABAg,surprise,2,0,0.0,{'neutral': 2}
UgzViOlKPmk1yGE8Z1d4AaABAg,sadness,1,0,0.0,{'anger': 1}
Ugyl3XBlHju5NFBjru94AaABAg,neutral,1,0,0.0,{'anger': 1}
UgznXHm1P0nDa-NGArl4AaABAg,neutral,5,3,0.6,"{'neutral': 3, 'disgust': 1, 'fear': 1}"
Ugx_5ZOeaddZb24gW5x4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgxMnRPLh4tjGqZ9jf54AaABAg,anger,1,1,1.0,{'anger': 1}
UgyKC93Prhpc2oudv-94AaABAg,surprise,1,0,0.0,{'neutral': 1}
UgyBWMC0pPCFDCjXjit4AaABAg,neutral,3,3,1.0,{'neutral': 3}
UgwVVhuKus9PO05PLDR4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgwKZM3V7F7fAkI84G54AaABAg,disgust,1,0,0.0,{'neutral': 1}
UgxN2vnY27Upv_1iFtt4AaABAg,disgust,1,1,1.0,{'disgust': 1}
UgxBjHzzPKadUTUyS5t4AaABAg,anger,2,0,0.0,"{'neutral': 1, 'fear': 1}"
UgwBnmjkzEWMcIm_GbZ4AaABAg,disgust,2,0,0.0,{'neutral': 2}
UgyeYyQHtd4H-ITMw_R4AaABAg,anger,1,1,1.0,{'anger': 1}
