root_comment_id,root_emotion,root_sentiment,total_replies,same_emotion_count,emotion_propagation_rate,same_sentiment_count,sentiment_propagation_rate,reply_emotion_distribution,reply_sentiment_distribution
UgyQ99LZH0FygNO4Yh54AaABAg,sadness,negative,5,2,0.4,4,0.8,"{'anger': 2, 'sadness': 2, 'disgust': 1}","{'neutral': 1, 'negative': 4}"
Ugx2pQbFp1Y5TOrNYrd4AaABAg,anger,negative,2,0,0,0,0,{'neutral': 2},"{'positive': 1, 'neutral': 1}"
Ugw6Mw-0WvcBPgV9KY14AaABAg,anger,negative,1,1,1,0,0,{'anger': 1},{'positive': 1}
UgzfSXWgVqqY_E1hKPh4AaABAg,surprise,neutral,1,0,0,1,1,{'neutral': 1},{'neutral': 1}
UgwzCux63emqHSeiNG54AaABAg,neutral,positive,1,1,1,1,1,{'neutral': 1},{'positive': 1}
Ugy2BE4SETJGcxrwphd4AaABAg,surprise,neutral,5,2,0.4,0,0,"{'neutral': 2, 'surprise': 2, 'sadness': 1}","{'positive': 3, 'negative': 2}"
UgxJpK2wiAZFTY_I1Tl4AaABAg,sadness,positive,1,0,0,1,1,{'joy': 1},{'positive': 1}
UgyNvS7Z3JJok5qiUtl4AaABAg,joy,positive,2,1,0.5,1,0.5,"{'surprise': 1, 'joy': 1}","{'positive': 1, 'neutral': 1}"
Ugy9vsD8B-ZFXkBF2-x4AaABAg,surprise,neutral,1,0,0,0,0,{'anger': 1},{'negative': 1}
UgxMNOMgEKlGWf1pFGl4AaABAg,joy,positive,2,0,0,0,0,"{'disgust': 1, 'neutral': 1}",{'negative': 2}
UgyynAGpYXN6ylhlVu94AaABAg,sadness,negative,1,0,0,1,1,{'neutral': 1},{'negative': 1}
UgxcNY2iyJ5_wSKoDX94AaABAg,surprise,positive,16,3,0.1875,5,0.3125,"{'neutral': 9, 'sadness': 1, 'anger': 2, 'surprise': 3, 'disgust': 1}","{'neutral': 4, 'positive': 5, 'negative': 7}"
UgyGveGo3qd-bj8EzAR4AaABAg,anger,negative,3,2,0.666666667,3,1,"{'anger': 2, 'neutral': 1}",{'negative': 3}
Ugyal81NW0Or0fCnuOx4AaABAg,fear,negative,1,0,0,1,1,{'neutral': 1},{'negative': 1}
Ugz33Slu5zq-Fx2qnY94AaABAg,sadness,negative,1,0,0,0,0,{'neutral': 1},{'positive': 1}
Ugz_orQIzRrcv3Wx-lp4AaABAg,sadness,negative,1,1,1,1,1,{'sadness': 1},{'negative': 1}
